TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
nokia 3310 (2017) dual sim dark blue|3.0, a2dp||||||dual sim (mini-sim, dual stand-by)|||94 €||||gsm 900 / 1800 sim 1 & sim 2||no|removable li-ion 1200 mah battery||16 mb||||||microsd, up to 32 gb (dedicated slot)|||no|2 mp, led flash|109 g|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|2.4 inches (~30.3% screen-to-body ratio)||tft|240 x 320 pixels (~167 ppi pixel density)||
nokia xl dual sim blue|yes, v3.0 with a2dp, hs||||android os, v4.1.2 (jelly bean)||dual sim (micro-sim, dual stand-by)|||133 €|||hsdpa 900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, wi-fi hotspot|li-ion 2000 mah battery (bn-02)|| 768 mb ram||adreno 203|qualcomm msm8225 snapdragon s4 play||dual-core 1 ghz cortex-a5|microsd, up to 32 gb|4 gb||yes, 2 mp|5 mp, 2592 х 1944 pixels, autofocus, led flash|190 g|141.4 x 77.7 x 10.9 mm|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||ips lcd capacitive touchscreen, 16m colors|||
nokia xl dual sim black|yes, v3.0 with a2dp, hs||||android os, v4.1.2 (jelly bean)||dual sim (micro-sim, dual stand-by)|||133 €|||hsdpa 900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, wi-fi hotspot|li-ion 2000 mah battery (bn-02)|| 768 mb ram||adreno 203|qualcomm msm8225 snapdragon s4 play||dual-core 1 ghz cortex-a5|microsd, up to 32 gb|4 gb||yes, 2 mp|5 mp, 2592 х 1944 pixels, autofocus, led flash|190 g|141.4 x 77.7 x 10.9 mm|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||ips lcd capacitive touchscreen, 16m colors|||
nokia xl dual sim orange|yes, v3.0 with a2dp, hs||||android os, v4.1.2 (jelly bean)||dual sim (micro-sim, dual stand-by)|||133 €|||hsdpa 900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, wi-fi hotspot|li-ion 2000 mah battery (bn-02)|| 768 mb ram||adreno 203|qualcomm msm8225 snapdragon s4 play||dual-core 1 ghz cortex-a5|microsd, up to 32 gb|4 gb||yes, 2 mp|5 mp, 2592 х 1944 pixels, autofocus, led flash|190 g|141.4 x 77.7 x 10.9 mm|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||ips lcd capacitive touchscreen, 16m colors|||
nokia 3310 (2017) dual sim gray|3.0, a2dp||||||dual sim (mini-sim, dual stand-by)|||||||gsm 900 / 1800 sim 1 & sim 2||no|removable li-ion 1200 mah battery||||||||microsd, up to 32 gb (dedicated slot)|||no|2 mp, led flash|109 g|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|2.4 inches (~30.3% screen-to-body ratio)||tft|240 x 320 pixels (~167 ppi pixel density)||
nokia 3 dual sim 16gb black|4.0, a2dp, le||||android 7.0 (nougat)||dual sim (nano-sim, dual stand-by)|||163 €||lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, dual-band, wifi direct, hotspot|non-removable li-ion 2630 mah battery|| 2 gb ram||mali-t720mp1|mediatek mt6737||quad-core 1.4 ghz cortex-a53|microsd, up to 256 gb (dedicated slot)|16 gb||8 mp, f/2.0, autofocus, 720p|8 mp, f/2.0, autofocus, led flash|140 g (4.94 oz)|143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in)|5.0 inches (~67.3% screen-to-body ratio)||ips lcd capacitive touchscreen, 16m colors|720 x 1280 pixels (~294 ppi pixel density)||
nokia xl dual sim yellow|yes, v3.0 with a2dp, hs||||android os, v4.1.2 (jelly bean)||dual sim (micro-sim, dual stand-by)|||133 €|||hsdpa 900 / 2100 sim 1|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, wi-fi hotspot|li-ion 2000 mah battery (bn-02)|| 768 mb ram||adreno 203|qualcomm msm8225 snapdragon s4 play||dual-core 1 ghz cortex-a5|microsd, up to 32 gb|4 gb||yes, 2 mp|5 mp, 2592 х 1944 pixels, autofocus, led flash|190 g|141.4 x 77.7 x 10.9 mm|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||ips lcd capacitive touchscreen, 16m colors|||
htc desire vt t328t black|yes, v4.0 with a2dp||||android os, v4.0 (ice cream sandwich)||mini-sim||||||hsdpa 1900 / 2100 / td-scdma|gsm 900 / 1800 / 1900||wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|li-ion 1650 mah battery|| 512 mb ram||adreno 200|qualcomm msm7227a snapdragon||1 ghz cortex-a5|microsd, up to 32 gb|4 gb storage||no|5 mp, 2592 х 1944 pixels, autofocus, led flash|118 g|119.5 x 62.2 x 9.6 mm|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||capacitive touchscreen, 16m colors|||
htc desire vt t328t red|yes, v4.0 with a2dp||||android os, v4.0 (ice cream sandwich)||mini-sim|||177 €|||hsdpa 1900 / 2100 / td-scdma|gsm 900 / 1800 / 1900||wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|li-ion 1650 mah battery|| 512 mb ram||adreno 200|qualcomm msm7227a snapdragon||1 ghz cortex-a5|microsd, up to 32 gb|4 gb storage||no|5 mp, 2592 х 1944 pixels, autofocus, led flash|118 g|119.5 x 62.2 x 9.6 mm|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||capacitive touchscreen, 16m colors|||
htc desire 630 dual sim d630n dark gray|v4.1, a2dp||||android os, v6.0 (marshmallow)||dual sim (nano-sim, dual stand-by)|||170 €||lte band 1(2100), 3(1800), 5(850), 8(900), 40(2300)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2||wi-fi 802.11 b/g/n, hotspot|removable li-ion 2200 mah battery|| 2 gb ram||adreno 305|qualcomm snapdragon 400||quad-core 1.6 ghz cortex-a7|microsd, up to 256 gb (dedicated slot)|16 gb||5 mp, f/2.8|13 mp, f/2.4, autofocus, led flash|140 g (4.94 oz)|146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in)|5.0 inches (~66.2% screen-to-body ratio)||super lcd capacitive touchscreen, 16m colors|720 x 1280 pixels (~294 ppi pixel density)||
