@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI,USB_VERSION}

@data
5,29,21,4,4,0,false,false,false,false,false,TITLE
2,14,10,2,1,1,false,false,false,true,false,BLUETOOTH_VERSION
2,13,11,1,1,0,false,false,false,false,true,DEVICE_TYPE
3,21,18,0,2,1,false,false,false,false,false,SIM_CARD_SLOT
2,6,4,1,1,0,false,false,false,true,false,OS
3,13,11,0,2,0,false,false,false,false,false,SIM_CARD_TYPE
1,6,6,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,24,16,2,0,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,25,9,12,1,3,false,false,false,false,false,NETWORK_4G
2,26,8,14,1,3,false,false,false,false,false,NETWORK_3G
2,24,6,14,1,3,false,false,false,false,false,NETWORK_2G
1,17,14,0,0,3,false,false,false,false,false,NETWORK_TYPE
3,31,20,5,2,4,false,false,false,false,true,WIFI
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
3,41,36,0,2,3,false,false,false,false,false,BATTERY_TYPE
2,7,5,1,1,0,false,false,false,false,true,RAM_CAPACITY
2,10,6,3,1,0,false,false,false,true,false,GPU
3,23,18,3,2,0,false,false,false,true,false,CPU
2,17,11,3,1,2,false,false,false,false,true,CPU_CORES
2,13,12,0,1,0,false,false,false,false,false,EXTERNAL_MEMORY
1,4,2,2,0,0,false,false,false,false,true,STORAGE_SSD
1,5,2,2,0,1,false,false,false,false,true,CAMERA_FRONT
3,17,9,4,2,2,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
2,9,4,3,1,1,false,false,false,false,true,SCREEN_SIZE
1,3,0,3,0,0,true,true,false,false,false,SCREEN_PPI
1,10,10,0,0,0,false,false,false,false,false,SCREEN_TYPE
4,17,4,8,3,2,false,false,false,false,false,SCREEN_RESOLUTION
5,34,25,5,4,0,false,false,false,false,false,TITLE
1,4,1,2,0,1,false,false,false,true,false,BLUETOOTH_VERSION
2,11,7,2,1,1,false,false,false,true,false,OS
3,14,12,0,2,0,false,false,false,false,false,SIM_CARD_TYPE
1,9,9,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,32,24,2,0,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
27,197,91,68,26,12,false,false,false,false,false,NETWORK_4G
11,82,45,23,10,4,false,false,false,false,false,NETWORK_3G
