TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
xiaomi mi5 64gb 4g smartphone|bluetooth v4.2 ||4g smartphone |dual sim,dual standby |miui 8 ||dual nano sim |xiaomi ||$228.99|3g,4g,a-gps,gps,gsm,wifi |fdd-lte 1800/2100/2600mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |3000mah |lithium-ion polymer battery,non-removable |3gb ram ||adreno 530 |qualcomm snapdragon 820 ||2.15ghz,quad core |not supported |64gb ||4.0mp |16.0mp 4-axis ois |0.1290 kg |14.46 x 6.92 x 0.73 cm / 5.69 x 2.72 x 0.29 inches |5.15 inch |428|capacitive |1920 x 1080 (fhd) ||
blackview bv8000 pro 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 7.0 ||micro sim card |blackview ||$297.38|3g,4g,bluetooth,gps,gsm,nfc,wifi |fdd b1 2100mhz,fdd b17 700mhz,fdd b2 1900mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b4 1700mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b19 800mhz,tdd b38 2600mhz,tdd b39 1900mhz,tdd b40 2300mhz,tdd b41 2500mhz |wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b4 1700mhz,wcdma b5 850mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,td-scdma,tdd-lte,wcdma |802.11a/b/g/n wireless internet |4180mah built-in ||6gb ram |||mtk6757 ||2.3ghz,octa core |tf card up to 32gb (not included) |64gb ||8.0mp |16.0mp |0.2330 kg |15.62 x 7.92 x 1.32 cm / 6.15 x 3.12 x 0.52 inches |5.0 inch ||corning gorilla glass,ips |1920 x 1080 (fhd) ||
oukitel c5 pro 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 6.0 ||dual micro sim card |oukitel ||$69.99|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11b/g/n wireless internet |1 x 2000mah ||2gb ram |||mtk6737 ||1.3ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp ( sw 5.0mp ) |5.0mp ( sw 8.0mp ) |0.1380 kg |14.40 x 7.20 x 0.93 cm / 5.67 x 2.83 x 0.37 inches |5.0 inch ||2.5d arc screen |1280 x 720 (hd 720) ||
bluboo d1 3g smartphone|v4.0 ||3g smartphone |dual sim,dual standby |android 7.0 ||micro sim card |bluboo ||$79.99|3g,a-gps,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |2600mah |lithium-ion polymer battery,non-removable |2gb ram ||mali-400 mp |mtk6580a ||1.3ghz,quad core |tf card up to 256gb |16gb ||5.0mp |8.0mp + 2.0mp |0.1260 kg |13.90 x 7.00 x 0.80 cm / 5.47 x 2.76 x 0.31 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) ||
xiaomi mi 6 4g smartphone|||4g smartphone |dual sim,dual standby |miui 8 ||nano sim card |xiaomi ||$507.99|3g,4g,a-gps,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n/ac wireless internet |3350mah(typ) / 3250mah(min) quick charge 3.0 |non-removable ||||qualcomm snapdragon 835 ||2.45ghz,octa core |not supported |||8.0mp |12.0mp + 12.0mp with pdaf, f/1.8 and f/2.6 aperture |0.1710 kg |14.51 x 7.04 x 0.75 cm / 5.71 x 2.77 x 0.3 inches |5.15 inch |428ppi |capacitive |1920 x 1080 (fhd) ||
bluboo s1 4g phablet|v4.0 ||4g phablet |dual sim,dual standby |android 7.0 ||dual nano sim |bluboo ||$209.99|3g,4g,a-gps,bluetooth,gps,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b8 900mhz,tdd b38 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11a/b/g/n wireless internet |3500mah |lithium-ion polymer battery,non-removable |4gb ram ||mali t880 |mtk6575 ||2.5ghz,octa core |tf card up to 256gb |64gb ||5.0mp ff ( sw 8.0mp ) |13.0mp af ( sw 16.0mp ) + 3.0mp ff |0.4000 kg |14.80 x 7.40 x 0.80 cm / 5.83 x 2.91 x 0.31 inches |5.5 inch ||2.5d arc screen,corning gorilla glass |1920 x 1080 (fhd) ||
elephone m2 4g phablet|v4.0 ||4g phablet |dual sim,dual standby |android 5.1 ||dual micro sim card |elephone ||$109.99|gsm,3g,gps,bluetooth 4.0,wifi,4g |fdd-lte 800/900/1800/2100/2600mhz |wcdma 850/900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |1 x 2600mah battery |lithium-ion polymer battery |3gb ram ||mali-t720 |mtk6753 64bit ||octa core,1.3ghz |tf card up to 128gb (not included) |32gb ||5.0mp |13.0mp |0.161 kg |15.50 x 7.70 x 0.74 cm / 6.1 x 3.03 x 0.29 inches |5.5 inch ||capacitive (5-points) |1920 x 1080 (fhd) ||
nomu s20 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 6.0 ||nano sim card |nomu ||$151.8|3g,4g,a-gps,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11b/g/n wireless internet |3000mah built-in ||3gb ram ||mali-t720 |mtk6737 ||1.5ghz,quad core |tf card up to 32gb (not included) |32gb ||2.0mp ( sw 5.0mp ) |8.0mp ( sw 13.0mp ) with af and flash light |0.1810 kg |14.54 x 7.50 x 1.03 cm / 5.72 x 2.95 x 0.41 inches |5.0 inch ||capacitive,corning gorilla glass 3,ips |1280 x 720 (hd 720) ||
vernee mars pro 4g phablet|v4.0 ||phablet |dual sim,dual standby |android 7.0 ||micro sim card,nano sim card |vernee ||$179.99|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11a/b/g/n wireless internet |3500mah |non-removable |6gb ram ||mali t880 |helio p25 ||2.5ghz,octa core |tf card up to 256gb |64gb ||5.0mp |13.0mp |0.1610 kg |15.10 x 7.40 x 0.76 cm / 5.94 x 2.91 x 0.3 inches |5.5 inch ||2.5d arc screen,corning gorilla glass 3 |1920 x 1080 (fhd) ||
ulefone metal 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |ulefone ||$94.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |3050mah built-in |lithium-ion polymer battery |3gb ram |||mtk6753 64bit ||1.3ghz,octa core |tf card up to 128gb (not included) |16gb ||2.0mp (sw 5.0mp) |8.0mp (sw 13.0mp) |0.1550 kg |14.30 x 7.10 x 0.94 cm / 5.63 x 2.8 x 0.37 inches |5.0 inch ||corning gorilla glass 3 |1280 x 720 (hd 720) ||
